Video	Video title	Video publish time	Average view duration	Unique viewers	Average percentage viewed (%)	Views	Watch time (hours)	Subscribers	Impressions	Impressions click-through rate (%)
J6_xY5A6t0o	PLAYING EVERY SINGLE NBA 2K GAME IN ONE VIDEO…	"Nov 5, 2019"	0:11:45	1981185	30.9	2671665	523565.2705	16132	85248425	1.75
BQVFg8ogPNE	THE BEST VERSION OF NBA 2K20... IS ON GOOGLE STADIA	"Nov 26, 2019"	0:07:38	471979	42.31	595303	75839.1528	941	6533828	5.88
MDrxfubLVog	"NBA 2K DEVELOPERS ISSUE A WARNING TO PLAYERS, 2K15 SERVERS ARE RETURNING"	"Nov 29, 2019"	0:10:29	254349	49.38	429341	75090.0107	556	2973956	9.6
mk1g88OrYRQ	NBA 2K18 FULL MYCAREER STORY - PLAYMAKING SHARPSHOOTER	"Sep 15, 2017"	1:39:34	36040	48.56	43088	71502.4781	9	203447	2.4
NEAdV7JyQYs	"NBA 2K20 IS A DISASTER AFTER NEW UPDATE, RONNIE2K vs. LD2K #2KDramaAlert"	"Nov 12, 2019"	0:06:41	437783	52.19	602975	67228.2854	979	4767527	7.86
dZY1d6UjuAo	TOP 2K PLAYERS TURN AGAINST EACH OTHER IN MASSIVE WAGERS #2KDramaAlert	"Nov 7, 2019"	0:08:21	346095	59.31	436706	60799.6091	594	5507932	4.72
rrZC17Xl4fA	"dear ronnie2k, this is a message from everyone who plays nba 2k20"	"Nov 20, 2019"	0:08:45	335155	53.75	396990	57970.3845	315	5068059	4.98
iIgSXZ5XwzY	NBA 2K19 IS NOTHING LIKE HOW I REMEMBERED IT...	"Nov 14, 2019"	0:06:50	367283	52.31	443012	50466.7815	406	4378984	6.2
cM2uj7T8cPQ	NBA 2K20 MEMES THAT WILL MAKE YOU WANT TO DELETE THE GAME	"Nov 17, 2019"	0:07:02	326405	64	396251	46494.4182	347	4098826	6.18
sUGj6Qg90fY	"PLEASE 2K, SHUT DOWN THE 2K18 SERVERS IMMEDIATELY..."	"Nov 8, 2019"	0:05:28	377673	51.14	435245	39747.8101	571	3419960	7.88
Rab49uZGFm8	2K NOSTALGIA THAT ONLY NBA 2K PLAYERS WOULD UNDERSTAND	"Nov 11, 2019"	0:05:40	322421	61.95	378556	35828.5805	343	3826568	5.97
KMRB1utC888	NBA 2K20 MOMENTS I WAS PAID TO KEEP QUIET ABOUT...	"Nov 23, 2019"	0:06:06	298775	51.25	347785	35401.6723	216	4114565	5.34
IstfgpeTBds	NBA 2K MEMES THAT WILL HELP YOU GET THROUGH YOUR REP GRIND	"Nov 30, 2019"	0:10:12	0	56.56	207648	35334.1853		1198934	11.92
-Sfd3OxpfGE	NBA LIVE FOUND THE BLUEPRINT TO COMEBACK AGAINST NBA 2K	"Nov 2, 2019"	0:06:46	193039	43.27	216940	24510.4774	289	2673990	4.76
zyHCG1fugMU	NBA 2K17 - I GOT THE GRAND BADGE LIVE ON STREAM!!! FULL MYCAREER STORY LIVESTREAM (PART 3)	"Sep 22, 2016"	1:04:39	19199	50.76	22537	24288.0908	0	73515	5.01
epro5Fxkg0k	NBA 2K20 MEMES DESIGNED TO TEST YOUR IQ	"Oct 15, 2019"	0:09:44	91848	61	119570	19409.2557	434	1974110	2.16
PyC7YUDG4MY	THIS IS THE REASON WHY I PLAY NBA 2K20	"Oct 2, 2019"	0:07:10	71930	75.47	88109	10528.0815	75	539678	3.51
Oxxg3A9R6s0	USING THE MOST POPULAR JUMPSHOTS IN 2K HISTORY... ON NBA 2K20	"Oct 11, 2019"	0:06:48	72701	58.15	92080	10441.8529	195	1154577	4.12
FPBoLPZznUQ	YOU ARE REQUIRED BY LAW TO LAUGH AT THESE NBA 2K20 MEMES	"Oct 30, 2019"	0:07:48	62709	55.02	79479	10336.6961	97	2136203	1.6
ComGSI6nJic	"Last YouTuber to Stop Playing 2K19 Wins $10,000"	"Mar 20, 2019"	0:07:12	72268	39.76	85194	10227.4056	394	1433662	3.54
qjCA0xKlfBw	i brought my maxed 5'7 slasher to the neighborhood AND VIOLATED EVERY PLAYER	"Sep 19, 2019"	0:05:19	96911	53.16	114189	10150.0125	876	1431463	4.75
PddLGK4s20k	"i streamsniped fanum & flightreacts... and lets just say, they're not talking to me anymore..."	"Apr 22, 2019"	0:05:55	77652	51.16	95847	9453.1896	196	5002504	1.27
13RDXWrbeAM	MEMES ONLY NBA 2K20 PLAYERS WOULD UNDERSTAND...	"Sep 22, 2019"	0:07:38	57255	57.71	68228	8684.4384	178	1877665	1.77
ZYC3RUny7r8	i infiltrated a group of hackers on 2k19 and got caught trying...	"Oct 25, 2018"	0:08:11	50113	50.26	60187	8217.4487	171	1533319	2.17
JBKN9_3NaYc	CHANGE MY MIND: CONTROVERSIAL NBA 2K OPINIONS	"Sep 1, 2019"	0:08:11	51799	50.68	59302	8089.2204	80	2442648	1.16
uno1a98xjEU	"Last YouTuber to Stop Playing 2K20 Wins $10,000"	"Oct 27, 2019"	0:10:44	28731	51.97	36578	6547.3564	104	243138	6.98
cbiiV3eB-u8	i let steezo secretly play on my account in a HILARIOUS 1v1 wager vs. Mike Korzemba	"Feb 16, 2019"	0:07:29	42553	48.39	50925	6365.3561	79	2308791	1.27
91n2zSwNsDk	HE KICKED HALF THE MEMBERS OFF HIS TEAM AFTER THIS EMBARRASSING LOSS...	"Feb 23, 2019"	0:08:21	39089	53.97	45685	6363.1758	50	1248785	2.19
lgvrC4ZzKGg	2K PLAYERS FURIOUS AFTER MASSIVE CHANGES IN THE NEW FALL UPDATE	"Oct 7, 2019"	0:09:16	35352	52.82	39898	6170.0628	31	361014	3.63
AJjDp5bdoAA	CELEBRITIES HELPED ME FIND THE PERFECT JUMPSHOT ON NBA 2K20!! EXCELLENT RELEASES FROM HALF-COURT!	"Sep 23, 2019"	0:06:52	45843	50.5	53897	6169.6029	131	1265629	2.13
4EJSU3fUTAQ	nba 2k19 if you could create a 15ft playmaker	"Aug 13, 2019"	0:03:08	100814	40.81	112233	5890.4147	595	415456	15.82
qCH993foAwI	MY FIRST NEIGHBORHOOD GAME ON NBA 2K20 ENDED WITH A BROKEN CONTROLLER	"Sep 6, 2019"	0:06:00	47973	49.46	58313	5839.8677	128	810526	4.67
BKQIQSjnmyM	NBA 2K20 MOMENTS THAT I'LL PROBABLY REGRET TOMORROW MORNING	"Sep 16, 2019"	0:07:15	38239	69.39	46966	5675.8647	53	187334	6.06
nyGCjGpsfsg	ONLY 1% OF NBA 2K PLAYERS CAN MAKE IT OUT OF THIS GAME ALIVE...	"Jul 18, 2019"	0:09:43	30094	62.05	34680	5624.6204	35	758107	1.92
o5iePZCIJ5Y	*NEW* NBA 2K OLYMPICS Game Mode ADDED TO NBA 2K20	"Jul 21, 2019"	0:06:47	37926	53.5	45580	5161.2101	33	792148	3.52
8X3Bx-UBsIA	"""WHY AM I MISSING WIDE OPEN SHOTS ON 2K20"" .... ANSWERED"	"Sep 13, 2019"	0:06:54	37193	33.67	44839	5158.1103	206	880178	2.85
IaPw9GFyM5Q	NBA 2K20 MEMES APPROVED BY RONNIE2K	"Oct 3, 2019"	0:08:14	27721	67.33	34925	4800.6586	95	429978	2.85
amI3V7CwJUM	NBA 2K20 MEMES THAT WILL MAKE YOU PROUD TO BE A 2K PLAYER	"Aug 16, 2019"	0:09:20	25112	62.69	30407	4733.9831	68	195983	7.64
CLB7ihjul-g	NBA 2K MEMES THAT MAKE 2K19 WORTH PLAYING	"May 17, 2019"	0:10:45	21480	64.52	25688	4603.6771	20	211047	4.91
KnCHUuTZmxo	I AM THE NEW COMMUNITY MANAGER FOR NBA 2K20	"Aug 5, 2019"	0:08:47	23470	68.91	26841	3930.6296	25	126344	3.93
bXpbRhEvpk8	nba 2k19 but stretch bigs greenlight heavily contested jumpshots	"Jan 25, 2019"	0:06:27	29459	52.81	36520	3927.2272	22	804430	2.94
cKAOlLV2OYk	THE NEW NBA 2K20 2K HOUSE TOUR...	"Jul 14, 2019"	0:06:16	31589	66.18	37145	3885.266	40	127502	10.47
qLMYfc9n_6U	"MAKE THIS JUMPSHOT, I'LL BUY YOU ANYTHING YOU WANT IN NBA 2K20"	"Oct 23, 2019"	0:06:55	26917	57.89	32534	3751.272	38	427627	3.62
fUHngNSGkto	THE PATCH THAT TURNED EVERY NBA 2K PLAYER AGAINST EACH OTHER	"Jan 29, 2019"	0:09:51	18500	45.27	22732	3733.4082	27	477899	2.68
CDHXYHAz6fY	NBA 2K20 MEMES THAT WILL HELP YOU SURVIVE YOUR BADGE GRIND	"Sep 8, 2019"	0:08:06	20546	59.8	25647	3463.3395	57	197123	6.8
sTb8JgS2GMU	NBA 2K20 DEVELOPERS ARE GIVING ME THE POWER TO CHANGE ANYTHING I WANT ABOUT NBA 2K20	"Jun 28, 2019"	0:15:48	10961	53.31	13121	3458.5777	37	190232	2.4
LV6dn0bk1v4	NBA 2K20 MOMENTS THAT WILL MAKE YOU WANT TO DELETE YOUR BUILD	"Sep 11, 2019"	0:05:28	30944	53.55	36181	3299.3275	109	169751	10.84
ssnEFjS9yw8	disgraced nba 2k league prospect blows his chance AGAIN after this airball	"Nov 18, 2018"	0:06:56	22708	60.21	28385	3280.512	13	483458	3.57
fMGMZNKv-UI	HOW MANY HORRIBLE JUMPSHOTS DOES IT TAKE BEFORE YOUR TEAMMATE THROWS HIS CONTROLLER?	"Sep 26, 2019"	0:06:37	24795	72.87	29648	3270.7682	27	215431	4.79
-a7IJZE6RWY	"""NBA 2K19 IS PERFECT... DON'T CHANGE ANYTHING"""	"Sep 22, 2018"	0:07:32	21852	82.08	25580	3213.6967	14	72768	8.89
DZFZfp6IkOI	highly ILLEGAL nba 2k19 moments	"Dec 10, 2018"	0:09:37	16701	64.08	19755	3171.7132	9	150672	6.23
7oqvujfiqtg	TRYHARDS REACT TO PLAYING WITH THE WORST 99 OVERALLS ON NBA 2K18	"Mar 10, 2018"	0:08:09	19426	44.48	23246	3162.1721	40	713132	2.04
9PwUXlzx10Q	NBA 2K20 IS GETTING WORSE WITH EVERY UPDATE...	"Oct 20, 2019"	0:07:26	22551	50.79	25292	3139.9892	71	630430	2.11
a25-9Gnux9Q	my maxed 5'7 slasher will VIOLATE YOUR LOCKDOWN DEFENDER...	"Oct 17, 2019"	0:06:11	23753	61.16	28963	2986.6625	49	352323	4.52
Ph7MzPwD9MY	THE REAL REASON IM NOT VERIFIED ON NBA 2K20 IS TRAGIC...	"Sep 15, 2019"	0:06:27	23830	62.58	27675	2977.8307	50	394948	3.58
x51s5ABcdsM	NBA 2K17 ROOKIES GET SURPRISED!! HELPING BROWN SHIRTS REP UP AND WIN GAMES!!	"Mar 10, 2017"	0:06:33	24456	45.21	27031	2953.059	45	852903	1.95
Xq4BMeNDUCQ	BAD NEWS FOR 2K20... 2K WENT TOO FAR THIS TIME #2KDramaAlert	"Jun 25, 2019"	0:12:01	12601	54.19	14540	2913.1058	28	266624	2.67
iu7zLNXD4Ek	NBA 2K... IM WAITING FOR MY CHECK	"Apr 29, 2019"	0:11:00	13153	75	15570	2854.5226	6	87162	5.75
ufOWu__eYpk	i accidentally joined a roleplay server on nba 2k20...	"Oct 9, 2019"	0:06:20	22400	63.28	26814	2837.4329	20	153676	6.38
4BGDab28UAc	NBA 2K MEMES THAT THE DEVELOPERS WOULD BE ASHAMED TO SEE...	"Jun 8, 2019"	0:06:12	22322	57.96	25777	2664.26	38	278105	5.96
UagrJcKr3A8	nba 2k19 but every contested jumpshot is a greenlight	"Nov 25, 2018"	0:05:54	22113	51.13	25839	2546.6416	38	1155264	1.58
5IaAdBHBObM	*MUST SEE* NBA 2K18 ON THE PS3 IS A HIDDEN MASTERPIECE?!	"Jun 14, 2018"	0:03:58	33659	33.46	37620	2489.8014	188	312296	8.2
vDOKi_MhGVY	nba 2k19 if your team had 0% team chemistry	"Jul 27, 2019"	0:07:58	13870	51.96	18512	2458.0661	5	415552	2.99
wc2VBBUneJg	"LAST PERSON TO STOP PLAYING NBA 2K18 WINS $10,000"	"Jun 16, 2019"	0:07:07	16702	47.29	19419	2303.6023	34	181385	6.29
mluTer3i_C0	nba 2k20 if pushing received a massive buff	"Sep 14, 2019"	0:05:55	19491	86.18	22915	2260.1632	6	62236	8.27
X6Twl67K3wQ	i hired a fake professional coach to teach me how to play nba 2k19	"Nov 3, 2018"	0:05:38	21370	48.78	24004	2257.388	127	1598409	0.9
Pto5RQL5m-A	i'm uninstalling nba 2k19...	"Jan 3, 2019"	0:06:13	17265	58.29	21050	2181.3739	19	590477	2.49
8Ufag9JLlS8	99% OF NBA 2K PLAYERS CAN'T MAKE IT THROUGH THIS VIDEO... ep.2	"Jul 13, 2018"	0:03:52	30419	36.48	33485	2158.0216	198	224247	10.91
HsrHGKkbNRc	HIGHLY QUESTIONABLE NBA 2K19 MOMENTS	"Dec 31, 2018"	0:08:09	12857	73.95	15509	2109.1061	1	68378	8.93
_Y1C9jUkvvk	EVERYTHING WRONG WITH NBA 2K19 IN UNDER 13 MINUTES	"Jan 10, 2019"	0:07:23	14117	54.34	16449	2028.4116	20	305335	3.01
htQs3O7Mkac	NBA 2K20 DEVS FINALLY ADDED NEW PARKS TO THE GAME.... ON THE MOBILE VERSION	"Sep 22, 2019"	0:06:09	17175	64.37	19456	1996.8427	23	106426	7.95
XkfVz_18WKE	if you see any of these players on 2k19... RUN!!	"Sep 28, 2018"	0:07:36	13325	52.57	15508	1965.6069	15	201503	4.47
jhVUjDHNPaQ	"fredo, you forgot your script in your fake prank dude..."	"Oct 11, 2018"	0:07:53	12596	41.46	14912	1961.4038	28	371982	2.65
7dDYxVVxa3I	kevin garnett trying to figure out how to play on the park is pure comedy	"Dec 29, 2018"	0:05:15	20100	44.05	22325	1955.7233	65	122132	11.24
9vdHMrsWigY	"2K PLAYERS UNITE TO VIOLATE NADEXE, HIS RESPONSE GETS HIM BANNED #2KDRAMAALERT"	"Jan 20, 2019"	0:08:03	12141	47.48	14541	1952.1809	35	625045	1.45
wAhNjZw1ipQ	nba 2k19 if it was 975ms latency...	"May 20, 2019"	0:06:14	16483	48.81	18710	1945.8649	21	96603	11.14
Zt2u5m3-du4	i bought nba 2k19 on pc and i immediately regret it...	"Oct 20, 2018"	0:05:42	17851	46.32	20321	1932.2724	41	263425	4.99
fVv2e5rmqO0	2K PLAYER CAUGHT CREATING FAKE NBA 2K20 GAMEPLAY AND SCREENSHOTS	"Jul 11, 2019"	0:08:45	11669	66.24	13127	1917.8431	21	67691	7.53
9WlJM2pJAiY	THESE JUMPSHOTS TURN EARLY RELEASES INTO PERFECT RELEASES ON NBA 2K20! NEVER MISS AGAIN!	"Sep 30, 2019"	0:04:04	22298	47.01	27090	1842.8515	174	392065	4.18
4Xl3WiXQcdI	it took 13 hours to finally find this build on NBA 2K20	"Aug 27, 2019"	0:04:50	19418	41.86	22636	1826.6458	67	134435	11.08
vTYFboWJBh4	*BEWARE* 2K IS BANNING THOUSANDS OF PLAYER FALLING FOR THIS TRAP!	"Sep 14, 2018"	0:07:49	11548	47.12	13320	1736.3569	57	197574	4.11
nnXRMxUhqpk	nba 2k19 but stretch 4's green every contested jumpshot	"Dec 25, 2018"	0:06:59	12622	73.04	14899	1735.2152	2	68291	8.56
O_dB8Y9bjec	i used my VIP powers to punish toxic cheaters and hijack their games!	"Sep 21, 2018"	0:06:33	14113	56.29	15849	1732.3672	23	195467	4.77
_tcD3MtTXTo	"TROLLING TRYHARD FREAKS OUT AFTER LOSING 100,000 VC ON HIGH ROLLER ANTE UP!"	"Apr 29, 2018"	0:09:55	7900	50.61	9770	1615.3351	7	95604	5.55
GTF7BGdooFQ	PLAYERS TURN AGAINST EACH OTHER AS 2K20 DEVELOPERS PREPARE NEW UPDATE!! #2KDRAMAALERT	"Sep 18, 2019"	0:11:36	6846	64	8013	1551.3759	10	95377	2.99
Yn-fue5aR_Y	2K PLAYERS ERUPT AFTER HANKDATANK EXPOSED FOR BOOSTING AGAIN!? #2kDramaAlert	"Jan 7, 2019"	0:07:53	9997	48.88	11720	1540.2665	31	263585	2.75
LIrV6nS9XzQ	NBA STAGED A FIGHT FOR VIEWS??! 2K DEVOLOPER CAUGHT LYING #2KDramaAlert	"Apr 20, 2019"	0:12:27	6338	61.68	7330	1522.1709	7	82970	3.84
o9sieyl6aUY	dear ronnie2k...	"Sep 27, 2019"	0:07:00	10575	59.02	12701	1482.5031	80	220906	2.84
zWhw9S6Qq2U	ONLY NBA 2K PLAYERS UNDERSTAND WHAT'S GOING ON HERE	"Mar 3, 2019"	0:07:01	10318	63.11	12017	1407.3134	14	72347	8.78
bAO1_Q6Lii4	if you ever buy nba 2k19 on the switch... you're in for a HILARIOUS SURPRISE	"Dec 12, 2018"	0:03:55	17995	39.01	20580	1344.8947	45	102691	11.82
tSXD4FCITQk	2 MILLION IQ PLAYS ON NBA 2K19	"Nov 28, 2018"	0:07:31	9110	62.39	10609	1331.1458	1	101507	6.09
5iip6rBEOq0	nba 2k19 if there was no latency	"Jun 24, 2019"	0:05:18	12333	64.93	14588	1289.1521	10	85994	10.18
U8knLgMe6aQ	give me 30 minutes and i can make your favorite nba 2k youtuber rage quit...	"Nov 13, 2018"	0:05:45	11213	46.89	13132	1258.8031	17	95349	8.55
LvUZ2NkHGZE	i used my arcade stick on nba 2k19 and IMMEDIATELY started stringing combos	"Apr 6, 2019"	0:06:50	9461	54.36	10872	1239.411	12	133393	4.66
1a1Fi0Fqh3M	"if you close your eyes, nba 2k19 is not so bad..."	"Mar 7, 2019"	0:06:04	10208	66.86	11853	1199.7784	3	158104	3.93
CVABsRfT254	NBA 2K20 WILL HAVE ALL THE GAME MODES & FEAUTURES I'VE BEEN BEGGING FOR!!	"Jul 4, 2019"	0:07:52	7535	44.61	9035	1186.8677	27	138047	2.81
1A59YX0O8uk	IGN CAUGHT LYING IN THEIR NBA 2K19 REVIEW...	"Sep 28, 2018"	0:10:34	5426	57.6	6376	1123.2462	5	61244	5.27
boGr31quhr4	i bought millions of vc and spent it in the dumbest way possible	"Jan 22, 2019"	0:04:17	14074	49.7	15246	1092.4647	45	79589	12.34
VCogs3iiMz8	nba 2k19 moments that will restore your faith in humanity	"Jun 3, 2019"	0:07:22	7576	64.66	8851	1087.4201	6	66479	7.04
whZIXogRNi8	"2K PLAYER RAGES AFTER LOSING $250,000, EVERYONE REACTS TO NADEXE TERMINATION"	"Feb 11, 2019"	0:07:57	6970	55.87	8081	1071.1065	12	113958	4.23
grLQl9D6U5U	nba 2k19 if there was no lag	"Dec 5, 2018"	0:07:24	7445	68.5	8627	1065.3333	10	47328	8.14
K-s_iPh3xeo	NBA 2K DROPS A MASSIVE BOMBSHELL... AND NO PLAYERS ARE HAPPY ABOUT IT #2KDramaAlert	"Mar 30, 2019"	0:11:23	4704	69.91	5502	1044.9519	3	45402	5
UNVfsMozgsI	DEFENDING POPULAR NBA 2K19 PLAYERS FROM STREAMSNIPERS ON AT ALL COSTS	"May 21, 2019"	0:08:31	5947	58.88	6897	980.3188	0	63420	6.14
PEFolaTBC4U	THE LOSTNUNBOUND DRAMA EXPLAINED: THE SCUM OF THE 2K COMMUNITY	"Dec 7, 2016"	0:10:01	4212	34.52	5652	944.7307	20	71060	5.35
Entcy4sBDHU	11 year old kid is EASILY better than most pro 2k19 players	"Oct 8, 2018"	0:05:26	9167	52.31	10268	930.9368	9	89921	7.96
4JJV5eyvvSQ	i hired editors to make a mixtape of my airballs and turnovers	"Jul 7, 2019"	0:06:56	6493	46.03	7612	880.7906	6	74836	5.98
N7yAnMKV11Y	NBA 2K17 SERVERS SHUTTING OFF... GOODBYE	"Nov 19, 2018"	0:05:32	8407	46.14	9141	843.5648	16	168004	3.37
Y9GwtKuqM9o	NBA 2K20 IS INTRODUCING A NEW ATTRIBUTE AND BADGE UPGRADING SYSTEM	"Aug 10, 2019"	0:12:14	3503	49.6	3921	800.0572	12	48880	2.8
s5PtuoLlLI8	MASSIVE CHANGES TO NBA 2K20 MEANS YOU'LL NEED TO RECREATE YOUR BUILD	"Aug 23, 2019"	0:08:03	5461	76.22	5884	789.8288	2	52031	2.92
MhcNEck7roY	HIGHLY OFFENSIVE NBA 2K19 MOMENTS	"Oct 15, 2018"	0:06:49	6039	68.11	6908	785.4992	2	33236	9.82
4BM9Jjnh--o	i tried to warn them... they didn't listen	"Sep 18, 2018"	0:05:39	6906	62.21	8300	781.6282	0	56137	8.36
ijpH8JagnrM	"2K PLAYERS PROTEST NBA 2K20'S HORRIBLE LAUNCH, DEVS FINALLY RESPOND #fix2K20"	"Sep 10, 2019"	0:10:46	3708	59.19	4251	763.9283	8	63518	3.03
y9ahuEbj3rg	we cleared out a park full of celebrities and VIP's until jr smith sent an invite	"Sep 24, 2018"	0:05:28	7235	54.32	8209	748.1612	7	64491	6.94
48BZycl-eKI	NBA 2K16 SERVERS SHUTTING OFF... GOODBYE	"Dec 23, 2017"	0:04:36	8720	36.9	9443	723.9907	21	65545	9.07
wZBDvFHuu5M	The neighborhood is dying and NBA 2K knows the fix...	"Oct 1, 2018"	0:09:47	3915	71.67	4409	719.7896	4	20316	7.18
F_tHXXetquM	hassan whiteside is better at 2k19 than irl basketball	"Oct 5, 2018"	0:07:00	5316	66.84	5961	696.117	3	25853	10.64
jwoer7lIQQQ	WE'VE BEEN LIED TO ABOUT NBA 2K20...	"Sep 8, 2019"	0:09:10	3876	50.07	4515	690.8126	26	65953	3.89
S8h9O6tEQhw	NBA 2K19 moments that make you delete every player off your friends list	"Feb 5, 2019"	0:06:19	5436	61.91	6298	663.8965	4	41919	8.45
6Dx9BBXn7uY	CAN A NOOB FAKE IT AS A PRO NBA 2K19 PLAYER??!	"Oct 11, 2018"	0:07:49	4516	54.51	5071	661.8808	4	31275	9.02
XMfJODTxrHc	WILD GAMEWINNER vs. THE #1 RANKED PLAYER ON THE NEIGHBORHOOD!! FATAL ERROR ON THE LAST PLAY	"Nov 30, 2018"	0:04:42	7546	49.6	8360	656.5359	2	186968	2.79
gZtgsM88YVo	life as a playground VIP is rough...	"Sep 11, 2018"	0:07:17	4806	63.61	5362	650.8963	4	24874	10.43
